bin,head,condition,ref_score,score,delta
8k,19-15,y2_base,0.445436,0.347138,-0.098298
8k,16-20,y2_base,0.439453,0.368232,-0.071221
8k,19-20,y2_base,0.437464,0.378645,-0.058819
8k,16-4,y2_base,0.409836,0.294030,-0.115806
8k,20-26,y2_base,0.407315,0.336495,-0.070820
8k,19-23,y2_base,0.404212,0.328359,-0.075853
8k,19-6,y2_base,0.399534,0.346602,-0.052932
8k,11-27,y2_base,0.398702,0.336383,-0.062319
8k,19-18,y2_base,0.394977,0.308695,-0.086281
8k,16-0,y2_base,0.388077,0.383630,-0.004447
8k,21-5,y2_base,0.377018,0.378272,0.001254
8k,11-24,y2_base,0.373732,0.404659,0.030927
8k,14-8,y2_base,0.368428,0.144465,-0.223963
8k,20-21,y2_base,0.364546,0.291457,-0.073089
8k,19-22,y2_rpe_cur_L16k,0.464209,0.459873,-0.004337
8k,18-16,y2_rpe_cur_L16k,0.454712,0.474833,0.020120
8k,19-15,y2_rpe_cur_L16k,0.445436,0.505131,0.059695
8k,16-20,y2_rpe_cur_L16k,0.439453,0.453367,0.013914
8k,19-20,y2_rpe_cur_L16k,0.437464,0.467766,0.030302
8k,16-4,y2_rpe_cur_L16k,0.409836,0.255815,-0.154021
8k,20-26,y2_rpe_cur_L16k,0.407315,0.306834,-0.100481
8k,19-23,y2_rpe_cur_L16k,0.404212,0.442308,0.038096
8k,19-6,y2_rpe_cur_L16k,0.399534,0.439696,0.040163
8k,11-27,y2_rpe_cur_L16k,0.398702,0.278748,-0.119953
8k,19-18,y2_rpe_cur_L16k,0.394977,0.381130,-0.013847
8k,16-0,y2_rpe_cur_L16k,0.388077,0.337230,-0.050848
8k,21-5,y2_rpe_cur_L16k,0.377018,0.363013,-0.014005
8k,11-24,y2_rpe_cur_L16k,0.373732,0.364764,-0.008968
8k,14-8,y2_rpe_cur_L16k,0.368428,0.338551,-0.029877
8k,20-21,y2_rpe_cur_L16k,0.364546,0.299046,-0.065499
16k,19-22,lora_base,0.469607,0.469607,0.000000
16k,18-16,lora_base,0.436326,0.436326,0.000000
16k,16-20,lora_base,0.427492,0.427492,0.000000
16k,19-20,lora_base,0.410120,0.410120,0.000000
16k,19-15,lora_base,0.400484,0.400484,0.000000
16k,16-4,lora_base,0.390864,0.390864,0.000000
16k,21-5,lora_base,0.389900,0.389900,0.000000
16k,16-0,lora_base,0.380648,0.380648,0.000000
16k,19-23,lora_base,0.370510,0.370510,0.000000
16k,20-26,lora_base,0.367896,0.367896,0.000000
16k,11-27,lora_base,0.362958,0.362958,0.000000
16k,19-18,lora_base,0.361288,0.361288,0.000000
16k,19-6,lora_base,0.354595,0.354595,0.000000
16k,11-24,lora_base,0.348487,0.348487,0.000000
16k,17-24,lora_base,0.346277,0.346277,0.000000
16k,16-14,lora_base,0.344099,0.344099,0.000000
16k,19-22,y2_base,0.469607,0.420551,-0.049056
16k,18-16,y2_base,0.436326,0.373645,-0.062681
16k,16-20,y2_base,0.427492,0.367216,-0.060276
16k,19-20,y2_base,0.410120,0.382005,-0.028115
16k,19-15,y2_base,0.400484,0.322441,-0.078043
16k,16-4,y2_base,0.390864,0.245880,-0.144984
16k,21-5,y2_base,0.389900,0.374819,-0.015081
16k,16-0,y2_base,0.380648,0.371145,-0.009503
16k,19-23,y2_base,0.370510,0.324561,-0.045949
16k,20-26,y2_base,0.367896,0.309325,-0.058571
16k,11-27,y2_base,0.362958,0.292175,-0.070784
16k,19-18,y2_base,0.361288,0.288990,-0.072298
16k,19-6,y2_base,0.354595,0.333453,-0.021142
16k,11-24,y2_base,0.348487,0.364607,0.016120
16k,17-24,y2_base,0.346277,0.285253,-0.061023
16k,16-14,y2_base,0.344099,0.362046,0.017947
16k,19-22,y2_rpe_cur_L16k,0.469607,0.436886,-0.032721
16k,18-16,y2_rpe_cur_L16k,0.436326,0.412223,-0.024103
16k,16-20,y2_rpe_cur_L16k,0.427492,0.428424,0.000932
16k,19-20,y2_rpe_cur_L16k,0.410120,0.441121,0.031000
16k,19-15,y2_rpe_cur_L16k,0.400484,0.396552,-0.003932
16k,16-4,y2_rpe_cur_L16k,0.390864,0.222462,-0.168402
16k,21-5,y2_rpe_cur_L16k,0.389900,0.350346,-0.039554
16k,16-0,y2_rpe_cur_L16k,0.380648,0.345139,-0.035509
16k,19-23,y2_rpe_cur_L16k,0.370510,0.403775,0.033266
16k,20-26,y2_rpe_cur_L16k,0.367896,0.284500,-0.083396
16k,11-27,y2_rpe_cur_L16k,0.362958,0.271392,-0.091566
16k,19-18,y2_rpe_cur_L16k,0.361288,0.326352,-0.034936
16k,19-6,y2_rpe_cur_L16k,0.354595,0.370380,0.015785
16k,11-24,y2_rpe_cur_L16k,0.348487,0.347101,-0.001386
16k,17-24,y2_rpe_cur_L16k,0.346277,0.302043,-0.044233
