condition,bin,head,score,rank
y2_base,64k,16-17,0.225607,27
y2_base,64k,19-25,0.182039,40
y2_base,64k,19-17,0.347114,6
y2_base,64k,20-21,0.247035,20
y2_base,128k,16-19,0.022992,176
y2_base,128k,16-2,0.060272,96
y2_base,128k,16-20,0.165369,14
y2_base,128k,16-14,0.156643,16
y2_base,128k,16-0,0.187787,11
y2_base,128k,15-24,0.048181,116
y2_base,128k,16-18,0.039145,137
y2_base,128k,17-18,0.033738,151
y2_base,128k,16-1,0.128647,32
y2_base,128k,19-18,0.201022,8
y2_base,128k,19-19,0.134085,26
y2_base,128k,18-16,0.122400,35
y2_base,128k,16-17,0.079586,68
y2_base,128k,19-25,0.126449,34
y2_base,128k,19-17,0.302589,4
y2_base,128k,20-21,0.179120,12
y2_rpe_cur_L16k,0k,16-19,0.136572,148
y2_rpe_cur_L16k,0k,16-2,0.146171,136
y2_rpe_cur_L16k,0k,16-20,0.288325,26
y2_rpe_cur_L16k,0k,16-14,0.148322,133
y2_rpe_cur_L16k,0k,16-0,0.258239,43
y2_rpe_cur_L16k,0k,15-24,0.133721,153
y2_rpe_cur_L16k,0k,16-18,0.208539,73
y2_rpe_cur_L16k,0k,17-18,0.042153,313
y2_rpe_cur_L16k,0k,16-1,0.358106,11
y2_rpe_cur_L16k,0k,19-18,0.408828,4
y2_rpe_cur_L16k,0k,19-19,0.336388,16
y2_rpe_cur_L16k,0k,18-16,0.374162,8
y2_rpe_cur_L16k,0k,16-17,0.137309,146
y2_rpe_cur_L16k,0k,19-25,0.222267,66
y2_rpe_cur_L16k,0k,19-17,0.150437,128
y2_rpe_cur_L16k,0k,20-21,0.264868,37
y2_rpe_cur_L16k,1k,16-19,0.030920,154
y2_rpe_cur_L16k,1k,16-2,0.028176,168
y2_rpe_cur_L16k,1k,16-20,0.073518,21
y2_rpe_cur_L16k,1k,16-14,0.036713,122
y2_rpe_cur_L16k,1k,16-0,0.053158,55
y2_rpe_cur_L16k,1k,15-24,0.025226,189
y2_rpe_cur_L16k,1k,16-18,0.048937,68
y2_rpe_cur_L16k,1k,17-18,0.010274,328
y2_rpe_cur_L16k,1k,16-1,0.078872,18
y2_rpe_cur_L16k,1k,19-18,0.096125,7
y2_rpe_cur_L16k,1k,19-19,0.084971,14
y2_rpe_cur_L16k,1k,18-16,0.110149,5
y2_rpe_cur_L16k,1k,16-17,0.034694,137
y2_rpe_cur_L16k,1k,19-25,0.052627,56
y2_rpe_cur_L16k,1k,19-17,0.072455,22
y2_rpe_cur_L16k,1k,20-21,0.078216,19
y2_rpe_cur_L16k,2k,16-19,0.126511,147
y2_rpe_cur_L16k,2k,16-2,0.136570,131
y2_rpe_cur_L16k,2k,16-20,0.374405,12
y2_rpe_cur_L16k,2k,16-14,0.178934,81
y2_rpe_cur_L16k,2k,16-0,0.286377,25
y2_rpe_cur_L16k,2k,15-24,0.125631,148
y2_rpe_cur_L16k,2k,16-18,0.224482,56
y2_rpe_cur_L16k,2k,17-18,0.057372,270
y2_rpe_cur_L16k,2k,16-1,0.341159,17
y2_rpe_cur_L16k,2k,19-18,0.409163,7
y2_rpe_cur_L16k,2k,19-19,0.346511,16
y2_rpe_cur_L16k,2k,18-16,0.477388,3
y2_rpe_cur_L16k,2k,16-17,0.191205,74
y2_rpe_cur_L16k,2k,19-25,0.228993,53
y2_rpe_cur_L16k,2k,19-17,0.228251,54
y2_rpe_cur_L16k,2k,20-21,0.300920,20
y2_rpe_cur_L16k,4k,16-19,0.118821,136
y2_rpe_cur_L16k,4k,16-2,0.123954,126
y2_rpe_cur_L16k,4k,16-20,0.416210,8
y2_rpe_cur_L16k,4k,16-14,0.204889,57
y2_rpe_cur_L16k,4k,16-0,0.302994,21
y2_rpe_cur_L16k,4k,15-24,0.138644,104
y2_rpe_cur_L16k,4k,16-18,0.211273,56
y2_rpe_cur_L16k,4k,17-18,0.053790,250
y2_rpe_cur_L16k,4k,16-1,0.325348,16
y2_rpe_cur_L16k,4k,19-18,0.376457,10
y2_rpe_cur_L16k,4k,19-19,0.327917,14
y2_rpe_cur_L16k,4k,18-16,0.485325,3
y2_rpe_cur_L16k,4k,16-17,0.219671,49
y2_rpe_cur_L16k,4k,19-25,0.250106,35
y2_rpe_cur_L16k,4k,19-17,0.254227,33
y2_rpe_cur_L16k,4k,20-21,0.313983,18
y2_rpe_cur_L16k,8k,16-19,0.122923,113
y2_rpe_cur_L16k,8k,16-2,0.135452,94
y2_rpe_cur_L16k,8k,16-20,0.453367,5
y2_rpe_cur_L16k,8k,16-14,0.238545,37
y2_rpe_cur_L16k,8k,16-0,0.337230,13
y2_rpe_cur_L16k,8k,15-24,0.133501,97
y2_rpe_cur_L16k,8k,16-18,0.203072,55
y2_rpe_cur_L16k,8k,17-18,0.066488,206
y2_rpe_cur_L16k,8k,16-1,0.325654,15
y2_rpe_cur_L16k,8k,19-18,0.381130,8
y2_rpe_cur_L16k,8k,19-19,0.329678,14
y2_rpe_cur_L16k,8k,18-16,0.474833,2
y2_rpe_cur_L16k,8k,16-17,0.274074,26
y2_rpe_cur_L16k,8k,19-25,0.248033,33
y2_rpe_cur_L16k,8k,19-17,0.276796,25
y2_rpe_cur_L16k,8k,20-21,0.299046,19
y2_rpe_cur_L16k,16k,16-19,0.105741,121
y2_rpe_cur_L16k,16k,16-2,0.122233,106
y2_rpe_cur_L16k,16k,16-20,0.428424,3
y2_rpe_cur_L16k,16k,16-14,0.253329,26
y2_rpe_cur_L16k,16k,16-0,0.345139,11
y2_rpe_cur_L16k,16k,15-24,0.116647,109
y2_rpe_cur_L16k,16k,16-18,0.162329,73
