k,bin,condition,n,n_correct,mean_sig,mean_sig_correct,mean_sig_wrong,r_pointbiserial,p_pointbiserial,r_spearman
8,128k,y2_rpe_cur_L16k,60,39,2.4097,2.3630,2.4964,-0.0869,5.0888e-01,-0.0878
16,0k,lora_base,60,53,6.6360,6.5873,7.0047,-0.1604,2.2076e-01,-0.1694
16,0k,y2_base,60,45,6.5376,6.5137,6.6092,-0.0657,6.1822e-01,-0.1300
16,0k,y2_rpe_cur_L16k,60,46,6.1326,6.0857,6.2870,-0.1525,2.4484e-01,-0.1752
16,1k,lora_base,56,52,1.5471,1.4783,2.4412,-0.1661,2.2104e-01,0.0214
16,1k,y2_base,56,50,1.6107,1.5200,2.3660,-0.1703,2.0964e-01,-0.0929
16,1k,y2_rpe_cur_L16k,56,49,1.6051,1.5006,2.3367,-0.1932,1.5370e-01,-0.1353
16,2k,lora_base,60,51,6.6679,6.5889,7.1151,-0.1818,1.6454e-01,-0.2547
16,2k,y2_base,60,50,6.5538,6.4755,6.9456,-0.2231,8.6683e-02,-0.1808
16,2k,y2_rpe_cur_L16k,60,53,6.6018,6.6077,6.5571,0.0225,8.6447e-01,0.0165
16,4k,lora_base,60,53,6.3356,6.3161,6.4826,-0.0503,7.0248e-01,-0.0884
16,4k,y2_base,60,45,5.9797,5.9090,6.1915,-0.1322,3.1401e-01,-0.1078
16,4k,y2_rpe_cur_L16k,60,52,6.3897,6.4785,5.8128,0.2394,6.5393e-02,0.2491
16,8k,lora_base,60,47,6.5277,6.4117,6.9469,-0.1932,1.3904e-01,-0.1413
16,8k,y2_base,60,45,5.8424,5.7843,6.0168,-0.1036,4.3096e-01,-0.0545
16,8k,y2_rpe_cur_L16k,60,51,6.3775,6.2695,6.9894,-0.2453,5.8868e-02,-0.2978
16,16k,lora_base,60,47,6.1616,6.1813,6.0901,0.0326,8.0455e-01,0.0362
16,16k,y2_base,60,45,5.5206,5.6376,5.1696,0.1850,1.5693e-01,0.1678
